x;y
0;1,0000000000
0,01;0,9900003317
0,02;0,9800026401
0,03;0,9700088658
0,04;0,9600209101
0,05;0,9500406354
0,06;0,9400698659
0,07;0,9301103877
0,08;0,9201639492
0,09;0,9102322618
0,1;0,9003169998
0,11;0,8904198015
0,12;0,8805422689
0,13;0,8706859683
0,14;0,8608524311
0,15;0,8510431536
0,16;0,8412595978
0,17;0,8315031916
0,18;0,8217753293
0,19;0,8120773718
0,2;0,8024106473
0,21;0,7927764515
0,22;0,7831760480
0,23;0,7736106685
0,24;0,7640815135
0,25;0,7545897528
0,26;0,7451365251
0,27;0,7357229395
0,28;0,7263500749
0,29;0,7170189809
0,3;0,7077306780
0,31;0,6984861581
0,32;0,6892863848
0,33;0,6801322936
0,34;0,6710247926
0,35;0,6619647626
0,36;0,6529530575
0,37;0,6439905050
0,38;0,6350779064
0,39;0,6262160373
0,4;0,6174056479
0,41;0,6086474635
0,42;0,5999421844
0,43;0,5912904870
0,44;0,5826930231
0,45;0,5741504215
0,46;0,5656632872
0,47;0,5572322025
0,48;0,5488577268
0,49;0,5405403976
0,5;0,5322807302
0,51;0,5240792183
0,52;0,5159363342
0,53;0,5078525296
0,54;0,4998282351
0,55;0,4918638613
0,56;0,4839597988
0,57;0,4761164183
0,58;0,4683340714
0,59;0,4606130904
0,6;0,4529537891
0,61;0,4453564628
0,62;0,4378213886
0,63;0,4303488259
0,64;0,4229390165
0,65;0,4155921850
0,66;0,4083085391
0,67;0,4010882699
0,68;0,3939315521
0,69;0,3868385445
0,7;0,3798093899
0,71;0,3728442159
0,72;0,3659431347
0,73;0,3591062437
0,74;0,3523336255
0,75;0,3456253487
0,76;0,3389814673
0,77;0,3324020219
0,78;0,3258870393
0,79;0,3194365332
0,8;0,3130505040
0,81;0,3067289395
0,82;0,3004718151
0,83;0,2942790935
0,84;0,2881507259
0,85;0,2820866514
0,86;0,2760867976
0,87;0,2701510810
0,88;0,2642794068
0,89;0,2584716696
0,9;0,2527277533
0,91;0,2470475316
0,92;0,2414308679
0,93;0,2358776159
0,94;0,2303876195
0,95;0,2249607133
0,96;0,2195967226
0,97;0,2142954637
0,98;0,2090567441
0,99;0,2038803628
1;0,1987661103
